direction,period_year,period_month,branch_short_name,party_display_name,party_gstin,party_state_code,party_city,bill_number,bill_date,total_amount_rupees,tax_amount_rupees,rate_bps,is_cancelled,notes
PURCHASE,2026,7,,Durga Metals,09FBQPS0051B1ZN,09,Ghaziabad,GST-1291,2026-07-02,141542,21591,1800,0,
PURCHASE,2026,7,,Durga Metals,09FBQPS0051B1ZN,09,Ghaziabad,GST-1305,2026-07-05,55631,8486,1800,0,
PURCHASE,2026,7,,Durga Metals,09FBQPS0051B1ZN,09,Ghaziabad,GST-1502,2026-07-12,13676,2086,1800,0,
PURCHASE,2026,7,,Durga Metals,09FBQPS0051B1ZN,09,Ghaziabad,GST-1672,2026-07-20,102496,15635,1800,0,
PURCHASE,2026,7,,Durga Metals,09FBQPS0051B1ZN,09,Ghaziabad,GST-1729,2026-07-28,883991,134846,1800,0,
PURCHASE,2026,7,,Metal Max Industries,09AGFPC8521K1ZB,09,Ghaziabad,62,2026-07-03,28816,4396,1800,0,
PURCHASE,2026,7,,Metal Max Industries,09AGFPC8521K1ZB,09,Ghaziabad,69,2026-07-08,227929,34769,1800,0,
PURCHASE,2026,7,,Metal Max Industries,09AGFPC8521K1ZB,09,Ghaziabad,73,2026-07-14,130838,19958,1800,0,
PURCHASE,2026,7,,Metal Max Industries,09AGFPC8521K1ZB,09,Ghaziabad,77,2026-07-19,637495,97245,1800,0,
PURCHASE,2026,7,,Metal Max Industries,09AGFPC8521K1ZB,09,Ghaziabad,85,2026-07-25,35410,5402,1800,0,
PURCHASE,2026,7,,Shivam Enterprises,07CKGPK3184B1Z3,07,Delhi,SE-0335/2026-2027,2026-07-10,320373,48870,1800,0,
PURCHASE,2026,7,,Vardhman Industrial Gases,09ABAFV8498F1ZL,09,Ghaziabad,0931,2026-07-06,2230,340,1800,0,
PURCHASE,2026,7,,Vardhman Industrial Gases,09ABAFV8498F1ZL,09,Ghaziabad,0984,2026-07-22,1558,238,1800,0,
PURCHASE,2026,7,,Nav Bharat,09AAECN1234F1ZR,09,Ghaziabad,1673,2026-07-07,3841,586,1800,0,
PURCHASE,2026,7,,Nav Bharat,09AAECN1234F1ZR,09,Ghaziabad,1681,2026-07-21,3113,475,1800,0,
PURCHASE,2026,7,,Kedarnath and Company,09AATFK2233N1ZR,09,Ghaziabad,KNC/26-27/2448,2026-07-09,1009,154,1800,0,
PURCHASE,2026,7,,Chand Company,07AAAFC4619B1Z0,07,Delhi,CC-108,2026-07-11,36703,5599,1800,0,
PURCHASE,2026,7,,Vanshika Steels,09AAECV5678G1ZT,09,Ghaziabad,VS-55,2026-07-13,3100,473,1800,0,
PURCHASE,2026,7,,Anand Machinery,09AAECA9012H1ZS,09,Ghaziabad,4573,2026-07-15,9142,1394,1800,0,
PURCHASE,2026,7,,Anand Machinery,09AAECA9012H1ZS,09,Ghaziabad,5544,2026-07-29,3785,577,1800,0,
PURCHASE,2026,7,,Taneja Traders,09AESPT1175R1ZB,09,Ghaziabad,485,2026-07-16,2649,404,1800,0,
PURCHASE,2026,7,,Prakash Machinery,09AAECP3456I1Z6,09,Ghaziabad,3224,2026-07-17,2584,394,1800,0,
PURCHASE,2026,7,,Sapna Steels and Alloys Pvt Ltd,09AAECS7890J1ZN,09,Ghaziabad,399,2026-07-18,16106,2457,1800,0,
PURCHASE,2026,7,,Jyoti Steel,09EXYPS0262K1ZJ,09,Ghaziabad,296,2026-07-23,8065,1230,1800,0,
PURCHASE,2026,7,,Swarn Enterprises,09AAXFS7336L1Z5,09,Ghaziabad,SE-89,2026-07-24,4853,677,1800,0,
PURCHASE,2026,7,,4S Solutions,09FWUPS2773D1ZV,09,Ghaziabad,4S/1116/26-27 DL,2026-07-26,11800,1800,1800,0,
PURCHASE,2026,7,,Jain Tool Center,09AAECJ1234K1ZK,09,Ghaziabad,JTC-101,2026-07-27,88500,13500,1800,0,
PURCHASE,2026,7,,Omnipresent Engineers,09AAECO5678L1ZP,09,Ghaziabad,OE-202,2026-07-27,29146,4446,1800,0,
PURCHASE,2026,7,,India Steel,09AAECI9012M1Z9,09,Ghaziabad,IS-303,2026-07-28,23600,3600,1800,0,
PURCHASE,2026,7,,Rawal Machinery Store,09AAECR3456N1ZU,09,Ghaziabad,RMS-404,2026-07-29,29500,4500,1800,0,
PURCHASE,2026,7,,R.H. Engineering Works,09AAECE7890O1ZR,09,Ghaziabad,RHE-505,2026-07-30,35400,5400,1800,0,
PURCHASE,2026,7,,S.S.K. Engineering Works,09AAECS1234P1Z1,09,Ghaziabad,SSK-606,2026-07-31,41300,6300,1800,0,
PURCHASE,2026,7,,Durga Metals,09FBQPS0051B1ZN,09,Ghaziabad,GST-1800,2026-07-29,59000,9000,1800,0,
PURCHASE,2026,7,,Metal Max Industries,09AGFPC8521K1ZB,09,Ghaziabad,90,2026-07-30,66218,10101,1800,0,
PURCHASE,2026,7,,Jain Tool Center,09AAECJ1234K1ZK,09,Ghaziabad,JTC-102,2026-07-31,76090,11607,1800,0,
SALE,2026,7,Lucknow,,,,,06,2026-07-15,590000,90000,1800,0,
SALE,2026,7,Ghaziabad,,,,,63,2026-07-01,236000,36000,1800,0,
SALE,2026,7,Ghaziabad,,,,,64,2026-07-02,295000,45000,1800,0,
SALE,2026,7,Ghaziabad,,,,,65,2026-07-03,354000,54000,1800,0,
SALE,2026,7,Ghaziabad,,,,,66,2026-07-04,0,0,1800,1,Cancelled invoice number retained
SALE,2026,7,Ghaziabad,,,,,67,2026-07-05,177000,27000,1800,0,
SALE,2026,7,Ghaziabad,,,,,68,2026-07-06,212400,32400,1800,0,
SALE,2026,7,Ghaziabad,,,,,69,2026-07-07,259600,39600,1800,0,
SALE,2026,7,Ghaziabad,,,,,70,2026-07-08,188800,28800,1800,0,
SALE,2026,7,Ghaziabad,,,,,71,2026-07-09,188800,28800,1800,0,
SALE,2026,7,Ghaziabad,,,,,72,2026-07-10,188800,28800,1800,0,
SALE,2026,7,Ghaziabad,,,,,73,2026-07-11,188800,28800,1800,0,
SALE,2026,7,Ghaziabad,,,,,74,2026-07-12,318600,48600,1800,0,
SALE,2026,7,Ghaziabad,,,,,75,2026-07-13,377600,57600,1800,0,
SALE,2026,7,Ghaziabad,,,,,76,2026-07-14,212400,32400,1800,0,
SALE,2026,7,Ghaziabad,,,,,77,2026-07-16,271400,41400,1800,0,
SALE,2026,7,Ghaziabad,,,,,78,2026-07-17,318600,48600,1800,0,
SALE,2026,7,Ghaziabad,,,,,79,2026-07-18,365800,55800,1800,0,
SALE,2026,7,Ghaziabad,,,,,80,2026-07-19,188800,28800,1800,0,
SALE,2026,7,Ghaziabad,,,,,81,2026-07-20,247800,37800,1800,0,
SALE,2026,7,Ghaziabad,,,,,82,2026-07-21,23777,3627,1800,0,
SALE,2026,7,Ghaziabad,,,,,83,2026-07-22,283200,43200,1800,0,
SALE,2026,7,Ghaziabad,,,,,84,2026-07-23,330400,50400,1800,0,
SALE,2026,7,Ghaziabad,,,,,85,2026-07-24,365800,55800,1800,0,
SALE,2026,7,Ghaziabad,,,,,86,2026-07-25,295000,45000,1800,0,
SALE,2026,7,Ghaziabad,,,,,87,2026-07-26,342200,52200,1800,0,
SALE,2026,7,Ghaziabad,,,,,88,2026-07-27,177000,27000,1800,0,
SALE,2026,7,Ghaziabad,,,,,89,2026-07-28,271400,41400,1800,0,
SALE,2026,7,Ghaziabad,,,,,90,2026-07-29,318600,48600,1800,0,
SALE,2026,7,Ghaziabad,,,,,91,2026-07-30,365800,55800,1800,0,
SALE,2026,7,Ghaziabad,,,,,92,2026-07-31,321550,49050,1800,0,
SALE,2026,7,Ghaziabad,,,,,93,2026-07-31,448400,68400,1800,0,
